1478193190.056566,0140,8,00,00,00,00,10,29,2a,24,R
1478193190.056817,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.057058,0350,8,05,20,44,68,77,00,00,7e,R
1478193190.057304,0370,8,00,20,00,00,00,00,00,00,R
1478193190.057542,043f,8,10,40,60,ff,78,c4,08,00,R
1478193190.057786,0440,8,ff,00,00,00,ff,c4,08,00,R
1478193190.063099,0316,8,05,21,68,09,21,21,00,70,R
1478193190.063328,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.063576,0002,8,00,00,00,00,00,06,0b,70,R
1478193190.063814,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.064042,0260,8,19,21,22,30,08,8e,6d,18,R
1478193190.064278,0130,8,fb,7f,00,ff,0e,80,0b,96,R
1478193190.064514,0131,8,09,80,00,00,47,7f,0b,88,R
1478193190.064756,0140,8,00,00,00,00,12,00,2b,59,R
1478193190.064990,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.065225,0329,8,86,bb,7f,14,11,20,00,14,R
1478193190.065465,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.066482,043f,8,10,40,60,ff,78,c3,08,00,R
1478193190.066731,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.066967,0350,8,05,20,54,68,77,00,00,6e,R
1478193190.067217,0370,8,00,20,00,00,00,00,00,00,R
1478193190.067463,0440,8,ff,00,00,00,ff,c3,08,00,R
1478193190.071059,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.073220,0316,8,05,21,68,09,21,21,00,70,R
1478193190.073464,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.073691,0260,8,19,21,22,30,08,8e,6d,29,R
1478193190.073927,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.074160,0329,8,86,bb,7f,14,11,20,00,14,R
1478193190.074413,0430,8,00,00,00,00,00,00,00,00,R
1478193190.074662,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.074910,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.075148,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.075392,0002,8,00,00,00,00,00,07,0c,6f,R
1478193190.075632,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.076079,0130,8,03,80,00,ff,02,80,0c,bd,R
1478193190.076312,0131,8,1b,80,00,00,52,7f,0c,49,R
1478193190.076561,0140,8,00,00,00,00,02,20,2c,67,R
1478193190.076811,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.077045,0350,8,05,20,64,68,77,00,00,5e,R
1478193190.077295,0370,8,00,20,00,00,00,00,00,00,R
1478193190.077537,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.077784,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.083101,0316,8,05,21,70,09,21,21,00,70,R
1478193190.083336,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.083579,0002,8,00,00,00,00,00,07,0d,72,R
1478193190.083817,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.084047,0260,8,19,21,21,30,08,8e,6c,3c,R
1478193190.084287,0130,8,07,80,00,ff,0f,80,0d,4c,R
1478193190.084521,0131,8,12,80,00,00,58,7f,0d,d4,R
1478193190.084765,0140,8,00,00,00,00,04,00,2d,0a,R
1478193190.084998,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.085232,0329,8,86,bb,7f,14,11,20,00,14,R
1478193190.085470,0545,8,d8,5f,00,8c,00,00,00,00,R
1478193190.085608,05f0,2,01,00,R
1478193190.086495,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.086745,0370,8,00,20,00,00,00,00,00,00,R
1478193190.086979,0350,8,05,20,74,68,77,00,00,4e,R
1478193190.087221,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.087467,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.091066,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.093078,0316,8,05,21,70,09,21,21,00,70,R
1478193190.093320,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.093553,0260,8,19,21,21,30,08,8e,6c,09,R
1478193190.093790,02a0,8,00,00,95,1c,97,02,bd,00,R
1478193190.094024,0329,8,86,bb,7f,14,11,20,00,14,R
1478193190.094278,0430,8,00,00,00,00,00,00,00,00,R
1478193190.094526,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.094775,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.095013,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.095259,0002,8,00,00,00,00,00,08,0e,f6,R
1478193190.095501,0545,8,d8,00,00,8b,00,00,00,00,R
1478193190.096080,0130,8,09,80,00,ff,2c,80,0e,d6,R
1478193190.096314,0131,8,05,80,00,00,4f,7f,0e,56,R
1478193190.096556,0140,8,00,00,00,00,02,12,2e,04,R
1478193190.096809,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.097042,0350,8,05,20,84,68,77,00,00,be,R
1478193190.097293,0370,8,00,20,00,00,00,00,00,00,R
1478193190.097537,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.097781,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.103060,0316,8,05,21,70,09,21,21,00,70,R
1478193190.103301,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.103532,0260,8,19,21,21,30,08,8e,6c,1a,R
1478193190.103780,0002,8,00,00,00,00,00,08,0f,eb,R
1478193190.104018,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.104258,0130,8,07,80,00,ff,26,80,0f,c5,R
1478193190.104496,0131,8,f7,7f,00,00,3e,7f,0f,96,R
1478193190.104744,0140,8,00,00,00,00,04,0f,2f,93,R
1478193190.104978,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.105211,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.105451,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.106471,02c0,8,15,00,00,00,00,00,00,00,R
